Export Time, Export Time Seconds, Last Cycle Count
2022-Mar-18-14:17:52,1647631072,37844

IntID,WARNID,Warn Text,Source,Type,Class,Subclass,Annotation,Reboot Count,Reinit Count,Retry Count,Clear Count,Set,Cleared,Elapsed,Response Time,Temperature,E10 Mode,OpMode,Station Mode,Tester Mode,Air P Low,Part Count,Cycle Count,User ID,Handler ID,Site ID
64,10062,WARNING10062-Output_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,08:44:53 08-Jan-2022,08:46:02 08-Jan-2022,00:01:09,38,-45.0,Unknown,Initializing,1,1,0,0,3422,NA,MTX-A07,
65,10063,WARNING10063-Testsite_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,08:44:53 08-Jan-2022,08:46:02 08-Jan-2022,00:01:09,38,-45.0,Unknown,Initializing,1,1,0,0,3422,NA,MTX-A07,
66,10061,WARNING10061-Input_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,08:44:53 08-Jan-2022,08:46:02 08-Jan-2022,00:01:09,38,-45.0,Unknown,Initializing,1,1,0,0,3422,NA,MTX-A07,
67,10001,WARNING10001-Left Testsite Access Door was detected to be open without first requesting it to be unlocked.  Must re-init to recover.  Please check all door locks and make sure they do not report open when they are pulled on while locked.,SC1_Handler,0,0,Other,0,0,0,0,0,08:45:44 08-Jan-2022,08:46:18 08-Jan-2022,00:00:34,3651,-45.0,Unknown,Initializing,1,1,0,0,3422,NA,MTX-A07,
68,6452,WARNING6452-Partial Input Tray Detected at Input TPS2; Please confirm and Clear; or Retry as required.,SC1_Handler:PnP_Input,0,Assist,Other,0,0,0,0,1,09:46:35 08-Jan-2022,09:47:28 08-Jan-2022,00:00:53,5347,-45.0,Unknown,Running,1,1,0,0,3422,5,MTX-A07,
69,14104,WARNING14104-Boat Chamber will reach temperature more quickly; if the handler is started.,SC1_Handler:Boat_Xport,0,0,Other,0,0,0,0,0,11:15:42 08-Jan-2022,11:16:58 08-Jan-2022,00:01:16,0,130.0,Unknown,Running,1,1,0,0,3622,NA,MTX-A07,
70,6452,WARNING6452-Partial Input Tray Detected at Input TPS2; Please confirm and Clear; or Retry as required.,SC1_Handler:PnP_Input,0,Assist,Other,0,0,0,0,1,12:22:43 08-Jan-2022,12:23:31 08-Jan-2022,00:00:48,175229,130.0,Unknown,Running,1,1,0,0,3622,5,MTX-A07,
71,14104,WARNING14104-Boat Chamber will reach temperature more quickly; if the handler is started.,SC1_Handler:Boat_Xport,0,0,Other,0,0,0,0,0,13:56:12 08-Jan-2022,13:56:31 08-Jan-2022,00:00:19,169620,130.0,Unknown,Running,1,1,0,0,3822,NA,MTX-A07,
72,10062,WARNING10062-Output_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,13:42:30 10-Jan-2022,13:47:40 10-Jan-2022,00:05:10,28916,25.0,Unknown,Running,1,1,0,0,3822,NA,MTX-A07,
73,10063,WARNING10063-Testsite_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,13:42:30 10-Jan-2022,13:47:40 10-Jan-2022,00:05:10,28916,25.0,Unknown,Running,1,1,0,0,3822,NA,MTX-A07,
74,10061,WARNING10061-Input_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,13:42:30 10-Jan-2022,13:47:40 10-Jan-2022,00:05:10,28916,25.0,Unknown,Running,1,1,0,0,3822,NA,MTX-A07,
75,4303,WARNING4303-Right_Input_Shuttle  has received no response on comm line.,SC1_Handler:TCS,0,0,Other,0,0,0,0,0,13:47:54 10-Jan-2022,13:47:55 10-Jan-2022,00:00:01,28592,25.0,Unknown,Running,1,1,0,0,3822,NA,MTX-A07,
76,4302,WARNING4302-Left_Input_Shuttle  has received no response on comm line.,SC1_Handler:TCS,0,0,Other,0,0,0,0,0,16:55:10 10-Jan-2022,16:55:11 10-Jan-2022,00:00:01,17356,25.0,Unknown,Running,1,1,0,0,3822,NA,MTX-A07,
77,14104,WARNING14104-Boat Chamber will reach temperature more quickly; if the handler is started.,SC1_Handler:Boat_Xport,0,0,Other,0,0,0,0,0,21:44:26 10-Jan-2022,21:45:01 10-Jan-2022,00:00:35,28,-45.0,Unknown,Running,1,1,0,0,3822,NA,MTX-A07,
78,9001,WARNING9001-*Configuration Validation Rule Violation has occurred.,Machine:UI,0,0,Other,0,0,0,0,0,21:44:29 10-Jan-2022,21:44:33 10-Jan-2022,00:00:04,25,-45.0,Unknown,Running,1,1,0,0,3822,NA,MTX-A07,
79,4437,WARNING4437-Zone Left_Desoak_Shuttle is taking too long to reach setpoint.,SC1_Handler:TCS,0,0,Other,0,0,0,0,0,21:44:32 10-Jan-2022,21:45:01 10-Jan-2022,00:00:29,22,-45.0,Unknown,Running,1,1,0,0,3822,NA,MTX-A07,
80,4438,WARNING4438-Zone Right_Desoak_Shuttle is taking too long to reach setpoint.,SC1_Handler:TCS,0,0,Other,0,0,0,0,0,21:44:41 10-Jan-2022,21:45:00 10-Jan-2022,00:00:19,13,-45.0,Unknown,Running,1,1,0,0,3822,NA,MTX-A07,
81,14104,WARNING14104-Boat Chamber will reach temperature more quickly; if the handler is started.,SC1_Handler:Boat_Xport,0,0,Other,0,0,0,0,0,01:41:51 11-Jan-2022,08:31:13 11-Jan-2022,06:49:22,24554,50.0,Unknown,Running,1,1,0,0,4326,NA,MTX-A07,
82,9001,WARNING9001-*Configuration Validation Rule Violation has occurred.,Machine:UI,0,0,Other,0,0,0,0,0,08:31:16 11-Jan-2022,00:49:49 12-Jan-2022,16:18:33,22393,25.0,Unknown,Running,1,1,0,0,4326,NA,MTX-A07,
83,14104,WARNING14104-Boat Chamber will reach temperature more quickly; if the handler is started.,SC1_Handler:Boat_Xport,0,0,Other,0,0,0,0,0,00:49:31 12-Jan-2022,00:57:18 12-Jan-2022,00:07:47,0,50.0,Unknown,Running,1,1,0,0,4326,NA,MTX-A07,
84,4397,WARNING4397-Non Responsive Zones Detected Right_TS_3B. Closing Main LN2 valve.,SC1_Handler:TCS,0,Assist,Other,0,0,0,1,0,00:53:55 12-Jan-2022,00:57:12 12-Jan-2022,00:03:17,0,50.0,Unknown,Running,1,1,0,0,4326,5,MTX-A07,
85,6452,WARNING6452-Partial Input Tray Detected at Input TPS2; Please confirm and Clear; or Retry as required.,SC1_Handler:PnP_Input,0,Assist,Other,0,0,0,0,1,02:57:17 12-Jan-2022,02:58:13 12-Jan-2022,00:00:56,1706,-45.0,Unknown,Running,1,1,0,0,4326,5,MTX-A07,
86,6452,WARNING6452-Partial Input Tray Detected at Input TPS2; Please confirm and Clear; or Retry as required.,SC1_Handler:PnP_Input,0,Assist,Other,0,0,0,0,1,03:25:43 12-Jan-2022,03:26:19 12-Jan-2022,00:00:36,3345,-45.0,Unknown,Running,1,1,0,0,4526,5,MTX-A07,
87,6452,WARNING6452-Partial Input Tray Detected at Input TPS2; Please confirm and Clear; or Retry as required.,SC1_Handler:PnP_Input,0,Assist,Other,0,0,0,0,1,04:21:28 12-Jan-2022,04:21:34 12-Jan-2022,00:00:06,4497,-45.0,Unknown,Running,1,1,0,0,4726,5,MTX-A07,
88,14104,WARNING14104-Boat Chamber will reach temperature more quickly; if the handler is started.,SC1_Handler:Boat_Xport,0,0,Other,0,0,0,0,0,05:36:25 12-Jan-2022,05:36:34 12-Jan-2022,00:00:09,8518,-45.0,Unknown,Running,1,1,0,0,4926,NA,MTX-A07,
89,6452,WARNING6452-Partial Input Tray Detected at Input TPS2; Please confirm and Clear; or Retry as required.,SC1_Handler:PnP_Input,0,Assist,Other,0,0,0,0,1,07:58:23 12-Jan-2022,08:02:55 12-Jan-2022,00:04:32,2139,130.0,Unknown,Running,1,1,0,0,4926,5,MTX-A07,
90,6452,WARNING6452-Partial Input Tray Detected at Input TPS2; Please confirm and Clear; or Retry as required.,SC1_Handler:PnP_Input,0,Assist,Other,0,0,0,0,1,08:34:02 12-Jan-2022,08:34:13 12-Jan-2022,00:00:11,1532,130.0,Unknown,Running,1,1,0,0,5126,5,MTX-A07,
91,6452,WARNING6452-Partial Input Tray Detected at Input TPS2; Please confirm and Clear; or Retry as required.,SC1_Handler:PnP_Input,0,Assist,Other,0,0,0,0,1,08:59:34 12-Jan-2022,09:00:27 12-Jan-2022,00:00:53,1003,130.0,Unknown,Running,1,1,0,0,5326,5,MTX-A07,
92,12902,WARNING12902-A device is being tested. Do you want to stop? 
 Yes - Stop immediately; test will fail. 
 No - Do not stop.  
